product_id,seller_id,category_id,product_name,price,stock_quantity,created_at
1,598,11,Multi-channeled composite extranet,37.75,112,2024-02-20
2,463,14,Inverse local task-force,214.76,111,2024-09-18
3,436,15,Robust global array,342.48,80,2025-02-05
4,261,9,Organic 6thgeneration implementation,80.85,384,2023-06-22
5,303,8,Stand-alone executive orchestration,469.33,117,2026-04-10
6,43,8,Multi-lateral coherent throughput,463.46,172,2025-05-22
7,462,8,Streamlined modular implementation,392.08,188,2025-10-15
8,325,5,Configurable human-resource hardware,347.21,91,2025-06-23
9,240,5,Monitored dynamic challenge,582.58,183,2023-06-18
10,302,14,User-centric contextually-based productivity,454.07,279,2023-06-10
11,284,15,Switchable impactful Internet solution,208.82,60,2023-05-27
12,369,1,Function-based context-sensitive interface,493.68,170,2024-02-07
13,338,5,Team-oriented full-range archive,275.92,417,2024-07-16
14,196,12,Reduced systemic Local Area Network,545.6,70,2026-01-17
15,268,1,Optional client-driven attitude,694.21,144,2024-12-10
16,414,7,Triple-buffered value-added capacity,740.56,387,2023-01-25
17,484,11,Object-based intangible encoding,463.81,389,2023-11-02
18,408,4,Intuitive 24hour functionalities,208.09,383,2024-03-05
19,486,4,Polarized 24hour groupware,466.65,402,2026-02-05
20,480,12,Re-engineered well-modulated benchmark,733.88,174,2023-06-25
21,321,14,User-friendly value-added time-frame,173.11,394,2025-05-05
22,215,8,Phased motivating productivity,407.71,285,2023-03-03
23,384,3,Pre-emptive incremental installation,521.86,65,2024-09-17
24,10,8,Self-enabling didactic framework,730.3,427,2024-12-27
25,348,4,Enterprise-wide neutral workforce,380.13,351,2025-04-06
26,551,5,Face-to-face dedicated challenge,296.83,11,2026-03-08
27,33,15,Expanded user-facing support,129.52,500,2024-11-07
28,582,11,Synergistic stable migration,720.23,467,2026-05-29
29,588,14,Front-line heuristic Internet solution,354.83,195,2024-02-23
30,401,2,Diverse mobile support,483.36,96,2025-08-30
31,112,6,Triple-buffered didactic leverage,514.71,231,2024-09-15
32,96,3,Cross-platform background open system,98.35,283,2023-12-30
33,33,14,Configurable multimedia software,621.67,250,2023-02-24
34,192,4,Distributed 24hour synergy,67.18,493,2025-03-01
35,291,4,Open-architected 24hour frame,213.56,337,2025-12-09
36,72,8,Multi-channeled exuding algorithm,56.41,265,2023-01-23
37,176,6,Robust intermediate time-frame,774.43,210,2025-03-11
38,161,2,Self-enabling multimedia conglomeration,120.57,214,2025-09-06
39,71,7,Expanded solution-oriented structure,859.8,443,2024-02-27
40,134,14,Centralized asymmetric throughput,189.07,221,2025-08-30
41,163,10,Configurable demand-driven forecast,519.7,158,2026-04-18
42,208,9,Quality-focused composite instruction set,646.5,234,2024-07-18
43,207,1,Multi-layered upward-trending groupware,892.01,228,2023-05-12
44,409,10,Configurable client-driven monitoring,727.76,269,2024-11-04
45,583,15,Stand-alone leadingedge neural-net,444.4,236,2026-03-25
46,41,12,Visionary content-based focus group,86.53,330,2025-07-23
47,356,12,Profound value-added archive,759.15,405,2024-09-01
48,401,10,Stand-alone object-oriented Graphical User Interface,741.96,435,2023-12-25
49,426,4,Polarized bandwidth-monitored function,165.71,316,2025-06-03
50,469,7,Universal impactful emulation,820.19,93,2026-03-10
51,98,7,Robust methodical algorithm,630.28,22,2024-05-05
52,162,5,Robust 24/7 customer loyalty,794.88,275,2024-08-20
53,69,12,Managed zero-defect service-desk,655.24,461,2024-03-20
54,506,7,Monitored upward-trending concept,893.18,283,2023-09-06
55,378,2,Self-enabling non-volatile knowledgebase,681.07,258,2024-10-29
56,420,8,Business-focused radical initiative,152.52,106,2025-11-02
57,46,8,Managed 4thgeneration artificial intelligence,28.9,327,2025-08-03
58,391,6,Persistent methodical collaboration,672.62,438,2024-02-03
59,407,1,Pre-emptive disintermediate data-warehouse,14.6,58,2023-10-07
60,335,11,Progressive tertiary database,675.06,248,2025-08-02
61,70,2,Down-sized optimal strategy,495.83,124,2025-06-15
62,144,8,Phased solution-oriented instruction set,739.27,430,2023-11-27
63,175,14,Secured well-modulated attitude,21.16,51,2023-12-29
64,302,2,Customizable dynamic attitude,483.51,200,2023-12-11
65,80,11,Progressive zero administration monitoring,688.4,346,2024-07-13
66,158,8,Fully-configurable discrete implementation,325.48,110,2023-03-12
67,546,4,Monitored transitional neural-net,400.63,24,2025-12-06
68,106,7,Robust even-keeled throughput,622.85,227,2023-04-18
69,5,1,Virtual coherent knowledge user,696.3,392,2024-02-18
70,256,6,Profound disintermediate open architecture,818.33,102,2023-07-07
71,17,7,Configurable intangible framework,30.0,7,2024-11-21
72,197,11,Multi-channeled discrete leverage,603.7,112,2023-07-17
73,172,12,Open-architected intermediate budgetary management,154.5,212,2025-11-15
74,111,14,Function-based bi-directional open architecture,297.78,287,2024-01-24
75,213,15,Universal analyzing array,489.81,480,2025-05-26
76,124,4,Front-line mobile framework,196.32,182,2024-10-24
77,178,1,Enterprise-wide high-level monitoring,364.9,161,2023-01-25
78,399,4,Proactive attitude-oriented attitude,415.59,33,2024-07-24
79,378,1,Open-source modular attitude,65.25,111,2025-04-21
80,309,13,Integrated tertiary capacity,540.98,52,2026-01-03
81,583,3,Down-sized uniform knowledge user,230.48,48,2026-05-13
82,333,11,Multi-lateral exuding attitude,628.19,347,2023-09-30
83,341,3,Business-focused optimal functionalities,573.63,452,2024-10-13
84,494,2,Seamless local functionalities,304.91,311,2026-04-13
85,460,7,Open-source motivating groupware,462.36,379,2024-04-21
86,516,10,Universal exuding circuit,635.63,6,2024-04-21
87,22,10,Assimilated incremental implementation,684.24,63,2024-09-24
88,243,12,Organic bi-directional contingency,388.5,124,2026-06-23
89,82,1,Future-proofed reciprocal flexibility,128.1,255,2024-08-30
90,207,3,Future-proofed discrete framework,341.28,328,2023-03-19
91,244,15,Profound fresh-thinking firmware,654.14,484,2025-06-27
92,337,3,Digitized 4thgeneration structure,253.91,329,2023-03-23
93,534,13,Visionary value-added open system,879.91,331,2024-08-13
94,25,4,Reactive responsive protocol,763.0,169,2024-12-02
95,249,4,Optimized 3rdgeneration workforce,487.67,464,2024-05-23
96,228,10,Re-engineered mobile middleware,786.06,266,2024-10-20
97,188,8,Function-based tangible service-desk,568.65,33,2025-10-03
98,72,4,Profound content-based moderator,51.63,72,2024-02-23
99,129,2,Re-contextualized dedicated orchestration,160.43,281,2024-02-23
100,242,9,Enterprise-wide system-worthy framework,74.95,371,2025-08-14
101,319,3,Diverse stable projection,650.89,125,2025-05-18
102,181,10,Profound asymmetric array,227.82,146,2026-03-26
103,460,11,Devolved solution-oriented core,185.24,441,2025-09-12
104,82,6,Self-enabling intangible complexity,361.42,85,2025-08-22
105,452,7,Reduced transitional data-warehouse,457.23,376,2025-06-06
106,160,14,Quality-focused coherent middleware,858.6,246,2023-02-10
107,391,7,Progressive logistical knowledge user,769.36,388,2024-09-06
108,551,3,Pre-emptive needs-based superstructure,499.79,89,2024-06-10
109,390,8,Proactive dedicated capability,278.72,145,2025-02-07
110,576,10,Face-to-face foreground access,435.35,170,2023-10-07
111,481,4,Focused grid-enabled matrices,143.47,97,2023-01-09
112,14,14,Fundamental dynamic encryption,453.12,371,2025-02-05
113,504,7,Reduced tangible Graphical User Interface,833.48,481,2025-03-19
114,383,7,Assimilated solution-oriented core,443.14,328,2026-04-19
115,73,7,Reverse-engineered leadingedge moderator,797.06,471,2023-09-12
116,395,15,Profound impactful definition,511.21,99,2025-06-12
117,262,13,Adaptive empowering algorithm,822.2,369,2024-12-14
118,522,12,Persistent explicit benchmark,442.31,352,2025-01-24
119,60,11,Right-sized motivating middleware,349.86,217,2024-05-20
120,249,8,Profit-focused multi-tasking infrastructure,35.87,416,2025-01-10
121,29,12,Open-architected disintermediate attitude,600.77,75,2024-06-19
122,467,11,Up-sized multi-tasking database,136.88,126,2026-05-18
123,593,11,Object-based methodical frame,758.15,6,2023-08-28
124,95,11,Open-source systematic customer loyalty,641.88,196,2025-03-25
125,83,9,Fully-configurable static website,819.39,448,2025-05-16
126,170,14,Synergized actuating encryption,387.04,354,2024-09-10
127,513,9,Implemented optimizing flexibility,594.34,195,2026-04-15
128,316,12,Networked maximized throughput,373.38,448,2023-07-02
129,112,11,Balanced clear-thinking website,517.48,408,2024-12-06
130,147,5,Switchable mobile implementation,675.1,476,2025-03-26
131,316,1,Realigned 24/7 productivity,888.38,417,2025-10-04
132,2,2,Operative methodical alliance,67.5,356,2025-05-05
133,538,7,Fundamental next generation application,590.79,375,2025-06-01
134,175,3,Exclusive national database,340.3,360,2023-10-03
135,203,8,Implemented transitional core,167.87,485,2023-08-14
136,462,10,Visionary value-added access,733.85,95,2024-02-16
137,61,12,Optional regional algorithm,168.53,388,2024-01-28
138,266,15,Fully-configurable foreground support,785.09,225,2023-08-12
139,171,2,Multi-channeled homogeneous flexibility,267.34,193,2023-09-13
140,284,2,Up-sized asynchronous info-mediaries,311.22,299,2024-04-25
141,490,8,Organized contextually-based application,607.15,51,2023-01-20
142,63,5,Secured 24/7 Internet solution,677.85,3,2026-04-07
143,43,2,Re-contextualized bottom-line circuit,193.9,405,2023-01-15
144,385,10,Down-sized bi-directional open architecture,470.46,492,2024-06-28
145,498,8,Seamless multi-tasking adapter,682.43,309,2025-05-29
146,345,6,Extended stable circuit,615.25,175,2024-10-07
147,246,6,Optional didactic architecture,600.24,193,2026-06-04
148,59,6,Advanced attitude-oriented utilization,786.39,412,2023-07-25
149,4,8,Fully-configurable multimedia open architecture,784.12,205,2023-10-12
150,27,10,Business-focused next generation software,114.98,271,2024-07-26
151,255,6,Open-source cohesive portal,409.46,351,2025-08-31
152,528,7,Stand-alone value-added solution,595.89,1,2024-10-21
153,18,11,Multi-tiered scalable installation,327.37,23,2024-10-28
154,455,4,Down-sized real-time collaboration,548.04,204,2026-06-08
155,84,6,Ergonomic bottom-line orchestration,387.98,476,2025-09-02
156,103,12,Customer-focused scalable concept,349.44,310,2024-02-04
157,147,14,Enhanced impactful instruction set,470.44,292,2025-10-30
158,33,3,Organic heuristic hub,450.63,44,2024-09-09
159,562,14,Monitored directional moratorium,422.78,458,2025-07-02
160,119,8,Ergonomic methodical projection,598.05,123,2024-05-13
161,217,3,Expanded value-added Graphic Interface,679.15,337,2023-07-03
162,109,7,Polarized radical task-force,894.05,14,2023-11-25
163,335,15,Upgradable tertiary process improvement,348.21,143,2024-03-27
164,264,11,Profit-focused modular service-desk,431.28,459,2023-09-10
165,140,15,Up-sized disintermediate framework,483.41,371,2025-10-04
166,93,13,Object-based national strategy,624.14,446,2024-04-03
167,590,13,Secured zero tolerance encoding,831.83,33,2024-12-03
168,387,15,Seamless bandwidth-monitored neural-net,647.1,376,2025-02-20
169,576,14,Vision-oriented global time-frame,396.07,119,2024-04-02
170,266,2,Devolved bifurcated time-frame,265.41,57,2023-07-02
171,349,12,Team-oriented eco-centric knowledgebase,535.01,96,2023-08-26
172,587,6,Re-contextualized zero tolerance functionalities,119.03,160,2025-02-17
173,591,12,Robust object-oriented customer loyalty,6.49,31,2026-04-23
174,549,4,Reactive intangible parallelism,763.16,216,2024-10-16
175,374,13,Extended neutral database,612.97,407,2023-09-16
176,533,11,Synergistic 5thgeneration throughput,543.44,113,2023-08-07
177,405,1,Fully-configurable next generation hub,486.76,235,2024-10-09
178,149,14,User-centric empowering knowledgebase,848.88,428,2024-03-24
179,512,11,Upgradable coherent model,412.92,307,2024-08-03
180,150,12,Re-engineered holistic pricing structure,600.48,410,2023-03-12
181,328,5,Synchronized eco-centric toolset,454.62,352,2023-09-10
182,281,14,Devolved bottom-line capability,637.33,244,2024-03-17
183,507,5,Future-proofed user-facing Graphical User Interface,635.2,192,2023-05-01
184,342,3,Versatile multimedia hardware,745.95,107,2024-04-05
185,54,15,Multi-tiered bottom-line open system,779.55,91,2025-09-25
186,402,5,Pre-emptive multimedia algorithm,886.02,337,2023-11-23
187,23,9,Implemented next generation synergy,356.09,216,2025-08-27
188,357,13,Cross-platform zero tolerance middleware,355.26,36,2025-12-17
189,290,5,Reverse-engineered secondary support,628.25,99,2026-01-27
190,404,2,Virtual 24/7 collaboration,122.15,385,2026-04-03
